zip,type,year_built,listPrice,lastSoldPrice,list_to_sold_ratio,sqft,price_per_sqft,stories,beds,baths,baths_full,baths_full_calc,property_age,price_diff,price_ratio,price_change_pct
99208,4,2013,119071,119077,1,910,130.85,1,2,2,2,2,13,-6,1,0
98584,7,2019,1222787,1462187.5,0.96,3865,568.19,1,3,4,3,2,7,43901,0.84,-0.16
98277,3,1992,60073,35076,0.96,1810,324.3,2,3,2,2,2,34,24997,1.71,0.71
98903,4,1978,57911,57948,1,1440,40.24,1,3,2,2,2,48,-37,1,0
98168,8,2025,529947,529937,1,1000,529.94,2,2,3,2,2,1,10,1,0
98229,4,1973,149054,140050,0.96,1040,134.66,1,2,2,2,2,53,9004,1.06,0.06
98223,7,1986,749886,750065,1,1800,416.7,1,3,2,2,2,40,-179,1,0
98011,8,2025,925064,900097,0.97,1800,500.05,2,3,4,3,2,1,24967,1.03,0.03
98029,7,1992,1222787,1462187.5,0.99,2530,598.84,2,4,3,2,2,34,9859,0.84,-0.16
98382,3,1992,349925,319915,0.96,1810,324.3,2,3,0.5,2,2,34,30010,1.09,0.09
98027,7,2007,1222787,1399950,1,2780,503.58,2,3,3,2,2,19,-22,0.87,-0.13
98021,7,2023,1222787,1349922,0.98,2540,531.47,2,5,3,2,2,3,25175,0.91,-0.09
98501,7,2000,520008,519904,1,1570,331.15,2,3,3,2,2,26,104,1,0
98110,7,2003,1222787,1462187.5,1,3865,410.85,2,5,4,2,2,23,-146,0.84,-0.16
98815,7,1928,525077,490060,0.96,2030,241.41,2,2,3,2,2,98,35017,1.07,0.07
98642,7,2025,499926,499921,1,1820,274.68,2,3,2,2,2,1,5,1,0
98105,7,2008,1222787,1462187.5,1,3110,680.56,2,5,4,3,2,18,-27,0.84,-0.16
98405,7,1920,844937,845095,1,3750,225.36,2,3,2,1,2,106,-158,1,0
98252,7,1979,925098,950093,1.03,2000,475.05,1,3,3,1,2,47,-24995,0.97,-0.03
98229,0,1991,575066,537583,0.96,2100,255.99,3,3,3,2,2,35,37483,1.07,0.07
98229,0,1976,189077,184918,0.98,460,402,3,1.5,1,1,2,50,4159,1.02,0.02
99224,7,1996,379924,379920,1,1400,271.37,1,3,2,2,2,30,4,1,0
98034,7,1984,1222787,1462187.5,0.96,3740,641.69,2,4,4,1,2,42,43901,0.84,-0.16
98239,0,1990,550072,537427,0.98,1380,389.44,1,2,2,2,2,36,12645,1.02,0.02
98105,7,1926,1222787,1379901,1.02,2160,638.84,1,4,2,1,2,100,-29837,0.89,-0.11
98282,7,1989,500001,508067,1.02,1250,406.45,1,2,2,2,2,37,-8066,0.98,-0.02
99362,7,1909,315068,325050,1.03,2290,141.94,2,4,1,1,2,117,-9982,0.97,-0.03
98033,7,1976,1222787,1462187.5,1.02,2500,680.56,3,3,4,2,2,50,-33595,0.84,-0.16
98642,7,2017,567950,568083,1,2480,229.07,2,5,3,3,2,9,-133,1,0
98026,7,2005,780045,780050,1,2130,366.22,2,4,3,3,2,21,-5,1,0
98375,7,2006,554923,555070,1,2060,269.45,2,4,3,2,2,20,-147,1,0
98116,7,1951,850057,839929,0.99,1800,466.63,1,3,2,1,2,75,10128,1.01,0.01
98361,7,2021,1149065,1074078,0.96,2450,438.4,2,4,2,1,2,5,43901,1.07,0.07
98569,7,2004,279922,275070,0.98,1220,225.47,2,2,1,1,2,22,4852,1.02,0.02
98513,7,1992,499834,494910,0.99,1590,311.26,2,3,3,2,2,34,4924,1.01,0.01
98512,7,2000,588945,592326,1.01,2250,263.26,2,4,3,2,2,26,-3381,0.99,-0.01
98105,7,1930,1222787,1462187.5,0.96,3865,676.71,2,5,4,3,2,96,43901,0.84,-0.16
98004,7,1996,1222787,1462187.5,0.99,2760,680.56,2,4,3,1,2,30,29987,0.84,-0.16
98501,7,2025,625006,625011,1,1860,336.03,1,3,2,2,2,1,-5,1,0
98118,3,1965,79564,75100,0.96,1810,324.3,2,3,2,2,2,61,4464,1.06,0.06
98021,4,1981,499819,604924,1.03,1780,339.84,1,2,2,2,2,45,-33595,0.83,-0.17
98332,4,1980,450083,450086,1,1780,252.86,1,3,2,2,2,46,-3,1,0
98273,7,1992,748913,719920,0.96,2260,318.55,2,3,4.5,2,2,34,28993,1.04,0.04
98513,7,1977,85087,50068,0.96,1180,42.43,1,2,2,1,2,49,35019,1.7,0.7
98597,7,2022,450047,455099,1.01,1300,350.08,1,3,2,2,2,4,-5052,0.99,-0.01
98548,7,1992,774911,774932,1,1760,440.3,1,2,2,2,2,34,-21,1,0
98116,7,2015,850066,862025,1.01,1460,590.43,2,3,2,1,2,11,-11959,0.99,-0.01
98642,7,1990,998055,1015071,1.02,3090,328.5,2,5,3,2,2,36,-17016,0.98,-0.02
98405,8,2008,475081,468449,0.99,1840,254.59,2,3,3,1,2,18,6632,1.01,0.01
99037,7,1999,474904,480051,1.01,2320,206.92,1,3,3,3,2,27,-5147,0.99,-0.01
99003,4,2021,410099,414901,1.01,1250,331.92,1,3,2,2,2,5,-4802,0.99,-0.01
99163,7,2003,548061,548076,1,2460,222.8,2,4,3,1,2,23,-15,1,0
98272,7,1987,895962,860069,0.96,1200,680.56,2,2,1,2,2,39,35893,1.04,0.04
98292,0,2001,484949,485091,1,1330,364.73,2,2,2,1,2,25,-142,1,0
98264,7,2016,699057,685081,0.98,2090,327.79,2,4,3,2,2,10,13976,1.02,0.02
98001,7,1971,774872,775033,1,2540,305.13,1,3,2,2,2,55,-161,1,0
98121,0,2008,425077,440084,1.03,860,511.73,1,1.5,1,1,2,18,-15007,0.97,-0.03
98374,7,1992,694932,734940,1.03,2430,302.44,2,4,3,1,2,34,-33595,0.95,-0.05
98682,7,2026,531070,531189,1,1610,329.93,2,3,2,2,2,0,-119,1,0
98198,7,1965,725092,725087,1,2230,325.15,2,3,3,1,2,61,5,1,0
98524,7,1996,499877,477449,0.96,1250,381.96,1,3,2,2,2,30,22428,1.05,0.05
98331,3,1992,264909,232586,0.96,1810,324.3,2,3,2,2,2,34,32323,1.14,0.14
98683,7,1994,460099,459944,1,1150,399.95,1,3,2,2,2,32,155,1,0
98367,7,2020,874934,874937,1,3650,239.71,2,4,4.5,3.5,2,6,-3,1,0
98312,7,1959,500060,499914,1,1930,259.02,1,3,2,2,2,67,146,1,0
98371,7,1951,389098,418081,1.03,860,486.14,1,2,2,1,2,75,-28983,0.93,-0.07
